Text	Paraphrase
Chúng ta hãy đi ra ngoài.	Vào lại đi.
Vào trong thôi.	Hãy quay trở lại.
Chúng ta hãy đi vào.	Vào nhà thôi nào.
Hãy xem xét.	Chúng tôi sẽ trở lại.
Chúng tôi đang quay trở lại.	Chúng ta sẽ vào trong.
Chúng tôi sẽ trở lại.	Chào mừng trở lại.
Chúng tôi đang về nhà.	Chúng ta phải quay lại.
Chúng ta phải quay lại.	Chúng ta phải quay lại.
Chúng ta cần quay lại.	Chúng ta nên quay lại.
Chúng ta phải quay lại.	Chúng ta nên quay lại.
Chúng ta nên về nhà.	Chúng tôi đang về nhà.
Hãy quay trở về nhà.	Hãy trở lại bên trong.
Chúng ta nên về nhà.	Chúng tôi đang trên đường về nhà.
Hãy về nhà.	Hãy đi vào trong.
Hãy đi vào trong nhà.	Hãy trở về nhà.
Anh nên vào nhà đi.	Chúng ta có thể trở về nhà không?
Đồng hồ của tôi đã hết giờ.	Đồng hồ của tôi đã ngừng.
Sửa đồng hồ.	Sửa đồng hồ.
Đồng hồ không chạy.	Đồng hồ này bị hỏng.
Chiếc đồng hồ này bị hỏng.	Đồng hồ này bị hỏng.
Đồng hồ này không hoạt động.	Những chiếc đồng hồ đó đã bị hỏng.
Đồng hồ không hoạt động.	Đồng hồ không hoạt động.
Có còn chút muối nào không?	Có muối còn lại?
Không có ai khác.	Không có ai trong phòng.
Căn phòng trống rỗng.	Không còn ai cả.
Không có ai trong phòng.	Không có ai khác.
Không có ai trong lớp học.	Sẽ không có ai ở trong nhà.
Sẽ không có ai trong nhà.	Sẽ không có ai ở nhà.
Có hoa xung quanh.	Có hoa ở khắp mọi nơi.
Có côn trùng ở khắp mọi nơi.	Côn trùng ở khắp mọi nơi.
Chúa ở xung quanh ta.	Allah ở khắp mọi nơi.
Anh bị mọi người chê cười.	Tất cả khinh miệt cười nhạo anh ta.
Anh ấy sống ở trên tôi.	Anh ấy sống cách tôi một tầng.
Anh ấy đã ngoài bốn mươi.	Anh ấy đã ngoài bốn mươi.
Đừng mở cửa.	Bạn không được mở cửa.
Bạn làm đau tôi.	Bạn đang làm tổn thương tôi.
Bạn đã làm tổn thương tôi.	Anh đang làm em đau.
Bạn có làm chuyện này thường xuyên?	Bạn có làm điều đó thường xuyên không?
Bố đang làm gì vậy?	Bố, bố đang làm gì vậy?
Tôi thử.	Tôi sẽ làm mọi thứ có thể.
Tôi sẽ làm mọi thứ trong khả năng của mình.	Tôi sẽ cố gắng hết sức có thể.
Tôi sẽ thử vận ​​may của mình.	Tôi sẽ thử.
Tôi đang làm tốt nhất có thể.	Tôi đang làm tất cả những gì tôi có thể.
Tôi sẽ thử.	Tôi sẽ đâm vào nó.
Tôi muốn thử nó.	Tôi đang lam hêt sưc.
Tôi sẽ làm những gì tôi có thể.	Tôi sẽ thử.
Tôi rất thích thử điều đó.	Tôi muốn thử cái này.
Tôi sẽ làm mọi thứ mà tôi có thể.	Tôi muốn thử cái đó.
Tôi đang cô.	Tôi sẽ thử.
Tôi đang cố gắng hết sức mình.	Tôi làm hết sức mình.
Tôi muốn thử nó.	Tôi sẽ chứng minh điều đó.
Tôi sẽ mạo hiểm.	Tôi sẽ mạo hiểm đó.
Tôi sẽ thử nó.	Tôi sẽ thử xem.
Tôi định thử.	Tôi sẽ cố gắng hết sức.
Tôi sẽ làm hết sức mình.	Tôi sẽ nắm lấy cơ hội.
Tôi sẽ nắm lấy cơ hội của mình.	Tôi sẽ chấp nhận rủi ro đó.
Tôi sẽ nắm lấy cơ hội của mình.	Tôi sẽ cố gắng hết sức mình.
Tôi sẽ mạo hiểm.	Tôi sẽ có một cơ hội.
Tôi sẽ cố gắng hết sức.	Tôi đang cố gắng.
Tôi cố gắng bằng tất cả khả năng của mình.	Tôi sẽ thử nó.
Tôi đang cố gắng làm điều đó.	Tôi sẽ mạo hiểm.
Tôi sẽ có cơ hội đó.	Tôi sẽ làm bất cứ điều gì tôi có thể.
Tôi sẽ thử.	Tôi muốn thử nghiệm.
Tôi sẽ làm hết sức mình.	Tôi cố gắng hết sức.
Uống đi.	Uống xong.
Tự giúp mình một thức uống.	Mời anh uống.
Có một thức uống.	Đừng uống thứ đó.
Có một số.	Uống một chút đi.
Có thứ để uống.	Uống gì đó.
Uống!	Rót cho mình đồ uống.
Uống hết sữa của bạn.	Uống sữa của bạn.
Uống hết sữa của bạn.	Uống hết sữa.
Bạn không thể tách rời ngôn ngữ khỏi văn hóa.	Ngôn ngữ và văn hóa không thể tách rời.
Tôi thường làm các món ăn.	Tôi sẽ rửa bát đĩa.
Tôi đang rửa bát đĩa.	Tôi đang làm các món ăn.
Tôi sẽ rửa bát đĩa.	Tôi đang rửa bát đĩa.
Ở lại với Tom.	Đi với Tom.
Đó là đủ cho ngày hôm nay.	Hãy gọi nó là một ngày hôm nay.
Bạn nói gì để gọi nó là một ngày?	Làm thế nào về gọi nó là một ngày?
Hôm nay không còn nữa.	Đó sẽ là tất cả cho ngày hôm nay.
Điều này là dành cho hôm nay.	Hãy gọi nó là một ngày.
Bạn nói gì để nghỉ ngơi?	Đó là tất cả cho ngày hôm nay.
Cảm ơn bạn rất nhiều vì tất cả mọi thứ.	Cám ơn vì tất cả.
Cảm ơn bạn cho tất cả mọi thứ.	Rất cám ơn vì sự nỗ lực của bạn!
Trong bao nhiêu đêm?	Bạn sẽ ở bao nhiêu đêm?
Tôi dậy lúc khoảng sáu giờ.	Tôi dậy khoảng sáu giờ.
Nhà anh ấy đối đầu với nhà tôi.	Nhà anh đối diện nhà tôi.
Đó là trong một nhà bếp.	Anh ấy đang ở trong bếp.
Càng sớm càng tốt.	Bạn làm điều đó càng sớm thì càng tốt.
Càng nhanh càng tốt!	Sớm hơn sẽ tốt hơn.
Anh ấy ăn không ngừng.	Anh ấy ăn suốt ngày đêm.
Đó là một trang ngắn.	Có một trang bị thiếu.
Chúng ta cần giữ kín chuyện này.	Điều đó nên được giữ giữa chúng tôi.
Hãy giữ điều này giữa chúng ta.	Hãy giữ điều này giữa bạn và tôi.
Cả thế giới đang theo dõi.	Mọi người đang xem.
Mọi người đang nhìn chúng tôi.	Mọi người đang theo dõi chúng ta.
Mọi người đang theo dõi chúng tôi.	Mọi người đang nhìn chằm chằm vào chúng tôi.
Chọn giữa hai.	Chọn giữa hai.
Đừng ăn giữa các bữa ăn.	Không ăn đồ ngọt giữa các bữa ăn.
Thật đáng buồn, nhưng sự thật.	Đáng buồn nhưng là sự thật.
Mặc dù nhỏ nhưng bạn có giá trị lớn.	Bình nhỏ có tay cầm dài.
Anh ấy nghèo, nhưng anh ấy thật thà.	Anh nghèo, nhưng thật thà.
Bạn không thể bán con bò và uống sữa.	Cần thiết là mẹ của sáng chế.
Bạn không thể có bánh của bạn và ăn nó nữa.	Một ổ bánh mì hay hơn tiếng chim hót.
Đừng cố gắng làm hai việc cùng một lúc.	Làm một việc tại một thời điểm.
Giường nào cũng tốt hơn là không có giường.	Bạn không thể ăn bánh của bạn và có nó quá.
Không ai có thể làm tôi hai chủ.	Nhiều tay làm công việc nhẹ.
Sức mạnh của sự thống nhất.	Một hòn đá lăn tập hợp không có rêu.
Bạn có thể có nó trong cả hai cách.	Đoàn kết thì đứng vững, chia rẽ thì gục ngã.
Một quả trứng hôm nay tốt hơn một con gà mái ngày mai.	Một con chim trong tay đáng giá gấp đôi trong bụi rậm.
Một con cá nhỏ tốt hơn một cái đĩa rỗng.	Bạn không thể có bánh của bạn và ăn nó.
Có còn hơn không.	Đoàn kết làm nên sức mạnh.
Nó có thể là một con chim sẻ, nhưng nó vẫn là thịt.	Từng chút một đều có giá trị.
Ai đòi nhiều thì được nhiều. Người đòi hỏi quá nhiều, không nhận được gì.	Mong muốn là cha đẻ của suy nghĩ.
Ai vung quá cao, không đạt được gì cả.	Đoàn kết mang lại sức mạnh.
Người bắt đầu mười nhiệm vụ sẽ không hoàn thành một nhiệm vụ nào.	Việc lớn hơn họ đang có, các khó khăn hơn họ rơi.
Sức mạnh thông qua sự thống nhất.	Thống nhất chúng ta đứng.
Hai ý kiến ​​​​tốt hơn là một.	Bạn càng bay cao, bạn càng rơi xuống.
Nó vẫn tốt hơn không có gì.	Một tâm trí là tốt, nhưng hai tâm trí là tốt hơn.
Một nửa ổ bánh mì còn hơn là không có bánh mì.	Người ham muốn quá nhiều, không được gì cả.
Đừng làm hai việc cùng một lúc.	Đừng cố gắng làm hai việc cùng một lúc.
Bạn không thể ở hai nơi cùng một lúc.	Nghèo đói dạy bạn ăn bánh mì không bơ.
Những người đuổi theo hai con thỏ cùng một lúc sẽ không bắt được con nào.	Một người đuổi hai con thỏ cũng không bắt được.
Bốn mắt tốt hơn hai mắt.	Một con chim trong tay tốt hơn hai con trong bụi rậm.
Bốn mắt thấy nhiều hơn hai.	Kẻ đuổi theo hai con thỏ chẳng bắt được con nào.
Có sự an toàn trong số lượng.	Bạn không thể có được cả hai.
Tốt hơn một chút so với không có gì.	Ba mắt thấy nhiều hơn một.
Một người bạn cũ tốt hơn hai người bạn mới.	Đoàn kết là sức mạnh.
Không bao giờ là quá muộn để học hỏi.	Muộn còn hơn không.
Bạn không bao giờ quá già để học.	Không có người đàn ông nào quá già mà anh ta không thể học.
Bạn phải học cả đời.	Không ai quá già mà còn học được.
Dù bạn bao nhiêu tuổi, bạn vẫn có thể học được.	Bạn có thể học, bất kể tuổi tác của bạn.
Cho dù bạn bao nhiêu tuổi, bạn vẫn có thể học.	Người ta thậm chí có thể học ở tuổi già.
Bạn sẽ không bao giờ quá già để học.	Đối với kinh nghiệm và học hỏi, vĩnh cửu là không đủ.
Chúng tôi sống và học hỏi.	Sống và học hỏi.
Một người sống và học hỏi.	Bạn không bao giờ ngừng học hỏi.
Giáo dục không liên quan gì đến tuổi tác.	Bạn học chừng nào bạn còn sống.
Betty đến muộn nhất.	Betty đến cuối cùng.
Đó là Tatoeba.	Đó là Tatoeba.
Đây là Tatoeba.	Đó là Tatoeba.
Tôi biết cô ấy đang ngủ.	Tôi biết anh ấy đang ngủ.
Tom nghĩ rằng bạn đang nói dối.	Tom nghĩ rằng bạn đang nói dối.
Tuy nhiên, điều này là không thể.	Tuy nhiên, điều này là không thể.
Trí nhớ của anh ấy làm tôi kinh ngạc.	Trí nhớ của anh ấy làm tôi bối rối.
Những nỗ lực của Tom đã được đền đáp.	Những nỗ lực của Tom đã được đền đáp.
Nó được phép nghi ngờ.	Không sao để nghi ngờ.
Đừng tăng cân.	Giữ dáng.
Đừng béo lên.	Bạn không được tăng cân.
Tom là một người đàn ông béo.	Tom béo.
Tom bị thừa cân.	Tom béo lùn.
Tom mũm mĩm.	Tom béo.
Bạn đã khóc?	Bạn đang khóc?
Bạn đã không khóc?	Có bạn đã khóc?
Các bạn có đang khóc không?	Bạn đã khóc, phải không?
Đàn ông không bao giờ khóc.	Người ta không thể khóc khi đã là đàn ông.
Đàn ông cũng khóc.	Ngay cả đàn ông đôi khi cũng khóc.
Tôi cảm thấy như muốn khóc.	Tôi như muốn khóc.
Tôi chỉ muốn khóc.	Tôi muốn khóc!
Tôi cảm thấy một tiếng khóc tốt đang đến.	Tôi gần như đã khóc.
Tôi gần như bắt đầu khóc.	Tôi đã muốn khóc.
Bạn trông ảm đạm.	Anh ta trông ảm đạm.
Cô ấy trông không vui.	Cô ấy trông thật cô đơn.
Cô ấy trông cô đơn.	Cô ấy trông buồn.
Cô ấy trông buồn.	Cô ấy có vẻ không vui.
Bạn có vẻ xa cách.	Bạn có vẻ khó chịu.
Cô ấy có vẻ không vui.	Họ có vẻ thất vọng.
Bạn có vẻ thất vọng.	Bạn có vẻ tức giận.
Anh ta có vẻ tức giận.	Bạn có vẻ ngạc nhiên.
Bạn có vẻ không vui.	Cô ấy trông không vui.
Anh ấy trông không vui.	Bạn không có vẻ hạnh phúc.
Bạn có vẻ ngạc nhiên.	Bạn đang nhìn xuống.
Anh ấy có vẻ tức giận.	Trông họ thật buồn.
Bạn trông có vẻ thất vọng.	Bạn trông đau khổ.
Bạn trông nóng bỏng.	Bạn nhìn buồn.
Bạn trông có vẻ bối rối.	Trông bạn có vẻ lo lắng.
Bạn có vẻ ngạc nhiên.	Bạn có vẻ tức giận.
Bạn có vẻ chán nản.	Bạn có vẻ thất vọng.
Bạn có vẻ mất phương hướng.	Bạn có vẻ điên.
Bạn có vẻ bận tâm.	Bạn có vẻ buồn.
Bạn có vẻ ngạc nhiên.	Bạn có vẻ bối rối.
Bạn có vẻ buồn bực.	Bạn có vẻ lo lắng.
Bạn có vẻ buồn.	Bạn có vẻ ngạc nhiên.
Bạn có vẻ điên.	Bạn có vẻ buồn.
Anh có vẻ ngạc nhiên.	Cô ấy trông có vẻ ngạc nhiên.
Bạn có vẻ bối rối.	Bạn có vẻ lo lắng.
Trông bạn có vẻ tức giận.	Cô ấy trông có vẻ buồn.
Bạn trông hơi thất vọng.	Bạn có vẻ xa vời.
Anh ấy trông không vui.	Họ có vẻ khó chịu.
Bạn có vẻ điên rồ.	Anh ấy có vẻ đau khổ.
Bạn trông không được hạnh phúc.	Bạn có vẻ hơi chán nản.
Bạn có vẻ ngạc nhiên.	Bạn có vẻ lo lắng.
Bạn có vẻ e ngại.	Bạn có vẻ đang tức giận.
Bạn có vẻ ngạc nhiên.	Bạn có vẻ khó chịu.
Bạn có vẻ khó chịu.	Bạn có vẻ bối rối.
Bạn trông bối rối.	Bạn có vẻ khó chịu.
Bạn trông điên.	Bạn trông hơi khó chịu.
Bạn trông có vẻ sợ hãi.	Bạn thấy rất hồi hộp.
Bạn trông có vẻ thất vọng.	Bạn trông giống như bạn đang buồn.
Tôi ngại.	Tôi rụt rè.
Tôi ngại.	Tôi tự ý thức được.
Nói chung, người Nhật rất nhút nhát.	Người Nhật nói chung rất dè dặt.
Tôi không sợ.	Tôi sẽ không sợ hãi.
Tôi không sợ.	Tôi không sợ.
Tôi không xấu hổ.	Tôi không đỏ mặt!
Tôi không phải thằng khốn nạn.	Tôi không nhút nhát.
Tôi không phải gà.	Tôi không sợ hãi.
Tôi sẽ không sợ.	Tôi không phải là một kẻ hèn nhát.
Tôi không ngại.	Tôi sẽ không sợ hãi.
Không ai có thể ngăn chặn cái chết.	Không ai có thể thoát khỏi cái chết.
Không ai có thể thoát khỏi cái chết.	Không người đàn ông nào thoát khỏi cái chết.
Cô ấy có mái tóc khô.	Tóc cô khô.
Tom bị ướt.	Tom đang bị ướt.
Quần của tôi bị ướt.	Quần của tôi ướt sũng.
Ăn nhiều rau.	Ăn nhiều rau hơn.
Cô bán rau.	Anh bán rau.
Tôi là người Armenia.	Tôi là người Armenia.
Trước khi đi ngủ tôi nghe nhạc.	Tôi sẽ chỉ nghe một bài hát trước khi đi ngủ.
Chúng tôi không cần ai khác.	Chúng tôi không cần ai khác.
Tôi rất thích cuốn sách này!	Cuốn sách này rất thú vị.
Bố đã mua cho tôi cuốn sách.	Bố mua cho tôi mấy cuốn sách.
Bố mua sách cho con.	Bố mua cho con một cuốn sách.
Bố mua cho tôi một cuốn sách.	Bố tôi đang mua cho tôi một cuốn sách.
Tom đang ăn tối.	Tom đang ăn.
Tom đã ăn.	Tom luôn luôn ăn.
Tom đang ăn trưa.	Tom đang ăn.
Tom đang ăn.	Tom đang ăn trưa.
Tom vẫn đang ăn.	Tom vẫn đang ăn.
Điều này có nghĩa không?	Điều đó có ý nghĩa gì?
Điều đó có ý nghĩa?	Nó có ý nghĩa gì không?
Tôi giống mẹ tôi.	Tôi giống mẹ tôi.
Tom tin tưởng cô ấy.	Tom tin tưởng anh ta.
Tom tin tưởng bạn.	Tom đang trông cậy vào bạn.
Anh ta giờ ở đâu?	Bây giờ cô ấy đang ở đâu?
Tom làm bữa sáng.	Tom đã ăn sáng.
Tom đang chuẩn bị bữa sáng.	Tom nấu bữa sáng.
Anh uống bia.	Anh uống một cốc bia.
Anh ây uống bia.	Anh ấy đang uống bia.
Bạn đã hứa bạn sẽ ở đây.	Bạn hứa bạn sẽ đến.
Anh hứa anh sẽ đến	Bạn đã hứa bạn sẽ ở đó.
Luôn luôn có các lựa chọn.	Luôn luôn có sự lựa chọn.
Cả hai chúng tôi đều hơi say.	Cả hai chúng tôi đều hơi say.
Tom sẽ không bao giờ làm điều đó.	Tom sẽ không bao giờ làm điều gì đó như thế.
Tom sẽ không làm một việc như thế.	Tom sẽ không bao giờ làm điều đó.
Tom sẽ không làm một điều như vậy.	Tom sẽ không bao giờ làm điều này.
Tom sẽ không bao giờ làm điều này.	Tom chưa bao giờ làm điều đó.
Tom sẽ không bao giờ làm một điều như vậy.	Tom sẽ không bao giờ làm một điều như vậy.
Tom đã không làm điều đó.	Tom sẽ không bao giờ làm điều đó.
Tom sẽ không bao giờ làm điều này.	Tom sẽ không bao giờ làm điều này.
Chúng tôi biết nhau khá rõ.	Chúng tôi biết nhau rất rõ.
Chúng tôi biết nhau khá rõ.	Chúng tôi biết nhau quá rõ.
Chúng tôi vẫn chưa đi đến quyết định.	Chúng tôi vẫn chưa đưa ra quyết định.
Tom sẽ ở lại trong ba ngày.	Tom sẽ ở lại trong ba ngày.
Khi nào bạn sẽ làm điều đó?	Khi nào bạn sẽ làm điều đó?
Tại sao Tom phải làm điều đó?	Tại sao Tom cần phải làm điều đó?
Chúng ta đã đợi quá lâu rồi.	Chúng ta đã đợi quá lâu rồi.
Chúng ta đã nói rất nhiều về điều này.	Chúng ta đã nói về điều đó rất nhiều.
Tôi sẽ làm bất cứ điều gì cho bạn.	Tôi sẽ làm bất cứ điều chết tiệt cho bạn.
Tôi sẽ làm bất cứ điều gì cho họ.	Tôi sẽ làm tất cả mọi thứ cho bạn.
Tôi đã đợi ba tiếng đồng hồ.	Tôi đã đợi ba tiếng đồng hồ.
Tôi sẽ không bao giờ nhìn thấy anh ta.	Tôi sẽ không gặp cô ấy nữa.
Tôi sẽ không bao giờ gặp lại cô ấy nữa.	Tôi sẽ không gặp lại cô ấy nữa.
Tôi không muốn gặp lại anh ta nữa.	Tôi hy vọng tôi không bao giờ gặp lại anh ta nữa.
Tôi sẽ không bao giờ gặp lại anh ta nữa.	Tôi không muốn nhìn thấy cô ấy nữa.
Ồ, đừng xem tivi.	Hãy tắt ti vi đi.
Tom đặt một số bông hoa trên mộ của Mary.	Tom đặt hoa tại mộ của Mary.
Nó cảm thấy như mưa.	Nó trông như mưa.
Tôi sợ trời sắp mưa.	Tôi sợ trời sẽ mưa.
Nó đe dọa mưa.	Tôi có linh cảm rằng trời sẽ mưa.
Có thể trời mưa.	Nó sắp mưa.
Trời có khả năng mưa.	Trời có thể mưa sớm.
Có vẻ như trời sắp mưa.	Trời đang đe dọa mưa.
Trời sắp mưa.	Nó cũng có thể mưa.
Có vẻ như trời đang mưa.	Sắp có một trận mưa như trút nước.
Chắc trời sẽ mưa.	Tôi nghĩ rằng trời có thể mưa.
Tôi nghĩ rằng trời sẽ mưa sớm.	Họ nói trời sẽ mưa.
Trời có thể mưa.	Chắc trời sẽ mưa.
Có vẻ như trời sẽ mưa.	Mưa có khả năng rơi.
Có khả năng trời sẽ mưa.	Những đám mây nặng trĩu lơ lửng trong không trung.
Trời sẽ mưa sớm thôi.	Tôi nghĩ trời có thể đang mưa.
Tôi sợ trời sẽ mưa.	Có vẻ như hôm nay trời cũng sẽ mưa.
Có khả năng cao sẽ có mưa.	Có vẻ như trời có thể mưa.
Nó có thể mưa trong thời gian dài.	Tôi nghĩ rằng trời sẽ bắt đầu mưa sớm.
Có vẻ như trời sẽ mưa.	Có khả năng trời sẽ mưa.
Tôi nghĩ trời sẽ mưa sớm thôi.	Tôi sợ rằng trời sẽ mưa.
Có một ít cà phê?	Bạn sẽ có một số cà phê?
Làm ơn cho tôi một ly cà phê.	Tôi muốn uống cà phê.
Bạn có muốn uống trà không?	Bạn có muốn uống một tách trà không?
Tôi muốn uống cà phê.	Bạn co Uông ca phê?
Tôi muốn cà phê.	Làm ơn cho tôi một ít cà phê.
Làm ơn cho tôi một ly cà phê.	Xin vui lòng cho tôi một tách cà phê.
Bạn có muốn một chỗ cà phê?	Bạn có muốn uống một tách cà phê không?
Bạn có muốn uống thêm một tách trà nữa không?	Còn cà phê thì sao?
Cho tôi tách cà phê!	Có lẽ bạn muốn uống một ít trà?
Bạn có muốn một tách trà khác?	Tôi cần cà phê.
Vui lòng cho tôi cafe.	Tôi muốn một ít cà phê.
Bạn có muốn uống cà phê không?	Tôi muốn một tách cà phê, xin vui lòng.
Tôi cần một chút cafe.	Cà phê nghe như thế nào?
Bạn có muốn uống cà phê không?	Tôi chắc chắn có thể đi uống một tách cà phê.
Tôi muốn một ly cà phê.	Tôi muốn uống cà phê.
Bạn có thích cà phê không?	Làm thế nào về một số cà phê?
Làm thế nào về một ít trà?	Bạn có muốn uống trà không?
Bạn có muốn uống cà phê không?	Tôi có thể có một tách cà phê được không?
Tôi có thể lấy cho bạn một ít trà?	Tôi có thể lấy cho bạn một ly cà phê?
Bạn uống trà?	Bạn có muốn uống cà phê không?
Tôi có thể lấy một ít cà phê?	Anh ấy có uống cà phê không?
Tôi có thể lấy một tách cà phê được không?	Có ai thích một cốc không?
Tôi muốn một ly cà phê.	Tôi muốn một chút cà phê.
Anh ấy có uống cà phê không?	Các bạn có uống cà phê không?
Tôi muốn trở thành bạn của cô ấy.	Tôi muốn trở thành bạn của cô ấy.
Chúng tôi tức giận vì lời nói của anh ấy.	Những gì anh ấy nói khiến chúng tôi tức giận.
Đó là một tờ báo miễn phí.	Tờ báo là miễn phí.
Báo đâu?	Tờ báo ở đâu?
Tôi phản đối cuộc hôn nhân.	Tôi phản đối hôn nhân.
Bạn có nhận ra người phụ nữ đó không?	Bạn có biết người phụ nữ đó không?
Đừng bắn!	Ngưng băn.
Dừng bắn.	Giữ lửa của bạn.
Bạn làm việc tốt.	Bạn làm tốt công việc.
Cô ấy không thể mua được.	Bạn không thể đủ khả năng này.
Tớ sắp xỉu rồi.	Tôi phải ngồi xuống.
Tôi ngồi đây được không?	Bạn có phiền không nếu tôi ngồi đây?
Tôi có thể ngồi ở đó không?	Có ổn không nếu tôi ngồi đây?
Hãy tìm một cái gì đó để ngồi lên.	Hãy tìm một nơi nào đó để ngồi ở phía trước.
Tôi có thể xác nhận điều đó.	Tôi có thể xác nhận điều này.
Bất cứ ai có thể xác minh điều đó?	Ai đó có thể kiểm tra điều này?
Bất cứ ai có thể xác minh điều này?	Bất cứ ai có thể xác nhận điều đó?
Nó thật sự có hiệu quả.	Nó thực sự làm việc.
Sự thật là cô ấy đã nói dối.	Trên thực tế, cô ấy đã nói dối.
Trên thực tế, anh đã nói dối.	Trên thực tế, anh ta đã nói dối.
Họ đang nhàm chán một cái lỗ.	Họ đang đào một cái hố.
Đánh răng sạch sẽ.	Đánh răng.
Làm sạch răng của bạn!	Đánh răng kỹ.
Chúng ta phải dọn dẹp nhà bếp.	Chúng ta cần dọn dẹp nhà bếp.
Tôi dọn phòng nhé?	Tôi có nên dọn phòng không?
Tôi đánh răng.	Tôi đang đánh răng của tôi.
Thang máy ở hướng nào?	Thang máy ở đâu?
Có thang máy không?	Bạn có thang máy không?
Tôi ngửi thấy mùi gas.	Nó có mùi như ga.
Cho em đổi chỗ với.	Đổi chỗ cho tôi.
Tôi không nghĩ rằng cô ấy biết tiếng Do Thái.	Tôi không tin rằng cô ấy có thể nói tiếng Do Thái.
Bạn phải làm việc nhiều hơn nữa.	Bạn phải học nhiều hơn nữa.
Bạn nên học chăm chỉ hơn.	Bạn phải học tập chăm chỉ hơn nhiều.
Bạn cần tập thể dục nhiều hơn.	Bạn phải học chăm chỉ hơn.
Bạn phải học tốt hơn.	Bạn phải học chăm chỉ hơn.
Bạn phải tiếp tục học.	Bạn phải tiếp tục học.
Bạn nên tập thể dục nhiều hơn.	Bạn phải cố gắng hơn nữa.
Bạn nên luyện tập nhiều hơn.	Bạn phải tìm hiểu thêm.
Bạn nên học nhiều hơn nữa.	Bạn phải cố gắng hơn nữa.
Tôi tắm rửa sạch sẽ.	Tôi đang tắm ngay bây giờ.
Rửa chân.	Rửa chân.
Tôi giặt tất của mình.	Tôi đang giặt tất.
Tôi muốn nói chuyện với John.	Bây giờ John có rảnh không?
Tôi muốn nói chuyện với Johano.	Tôi muốn nói chuyện với Jean.
Anh ấy viết sách.	Anh ấy là một tác giả.
Anh ấy là một nhà văn.	Ông là một tác giả.
Anh ấy là một nhà văn giỏi.	Anh ấy là một tác giả xuất sắc.
Bộ đồ của tôi màu xám.	Bộ đồ của tôi màu xám.
Tiền được tính nhiều trong giới chính trị.	Tiền có tầm quan trọng lớn trong giới chính trị.
Bạn có thể chọn bất cứ thứ gì bạn thích.	Bạn có thể chọn bất kỳ trong số họ.
Cô ấy là tuyệt vời với trẻ em.	Cô ấy đang mong đợi một đứa trẻ.
Anh ấy sẽ sớm trở thành một người cha.	Cô ấy sắp có em bé.
Cô ấy có thai.	Cô ấy là lên duff.
Anh ấy sẽ sớm được làm cha.	Anh sắp được làm cha.
Anh ấy sẽ sớm được làm cha.	Anh ấy sẽ sớm trở thành một người cha.
Thật là một sự trùng hợp!	Thật là một sự trùng hợp kỳ lạ!
Tuyết đã bắt đầu tan.	Tuyết đã bắt đầu tan.
Tuyết đã bắt đầu tan.	Tuyết bắt đầu tan.
Anh ấy sống một mình trong rừng.	Anh ấy sống trong rừng một mình.
Anh ta sống trong rừng một mình.	Anh sống một cuộc đời cô đơn trong rừng.
Anh sống một mình trong rừng.	Anh ấy sống một mình trong rừng.
Những cánh hoa hồng này rất dịu dàng.	Cánh hoa hồng rất mềm.
Anh ấy đã ăn hết quả táo.	Họ đang ăn táo.
Chúng tôi đang ăn táo.	Quả táo đã bị tôi ăn mất.
Tôi đang ăn một quả lê Nhật Bản.	Tôi muốn ăn xoài.
Tôi ăn một quả táo.	Cô ấy đang ăn trái cây.
Tôi ăn trái cây.	Tôi ăn một quả chuối.
Anh ấy đã ăn hết quả táo.	Tôi đang ăn trái cây.
Cô ăn một quả táo.	Tôi đang ăn một quả chuối.
Tôi đã ăn quả táo.	Tôi đang ăn một quả lê.
Tôi đang ăn một quả táo.	Tôi sẽ ăn quả táo.
Anh ấy đã ăn quả táo.	Tôi định ăn quả táo.
Họ đang ăn táo.	Tôi ăn dưa chuột.
Tôi đã ăn một quả táo.	Tôi đang ăn quả táo.
Tôi ăn lê.	Cô ấy ăn trái cây.
Chúng tôi đang ăn táo.	Chúng tôi ăn táo.
Anh ấy đang ăn một quả cà chua.	Tôi đang ăn dưa chuột.
Tôi đang ăn trái cây.	Tôi đang ăn lê.
Bạn đang so sánh phấn và pho mát!	Bạn đang so sánh táo với cam.
Mọi thứ đều nằm trong tầm kiểm soát.	Mọi thứ đã nằm trong tầm kiểm soát.
Đêm xuống nhanh trong mùa đông.	Vào mùa đông, ngày ngắn hơn.
Vào mùa đông, màn đêm buông xuống nhanh chóng.	Ngày ngắn hơn vào mùa đông.
Mùa đông sẽ kết thúc sớm thôi.	Vào mùa đông, trời tối sớm.
Cát đang cạn dần.	Cuối cùng là đêm.
Nơi cuối cùng trong tầm mắt.	Sự kết thúc đã gần kề.
Điều này sẽ không bao giờ kết thúc.	Nó sẽ không bao giờ kết thúc.
Nó sắp gãy.	Nó sẽ phá vỡ.
Đài sẽ không hoạt động.	Đài không hoạt động.
Đài không hoạt động.	Đài phát thanh bị tắt nguồn.
Đài bị hỏng.	Đài đã chết.
Tủ lạnh của chúng tôi bị hỏng.	Tủ lạnh của chúng tôi không hoạt động.
Tủ lạnh của chúng tôi bị hỏng.	Tủ lạnh của chúng tôi không hoạt động nữa.
Bạn cần phải thức dậy.	Bạn phải thức dậy.
Sao bạn im lặng thế?	Tại sao bạn im lặng?
Bạn nên để nó không nói.	Bạn nên ngậm miệng lại.
